Dag MedTmp MaxTmp   MinTmp  Nederbörd
1   3.4     7.1     0.6     0.0
2   3.7     7.3     1.2     0.0
3   2.5     3.4     1.5     0.0
4   2.5     5.5     0.8     0.0
5   0.5     5.8     -4.3    0.0
6   3.4     6.8     -2.2    0.0
7   2.5     5.6     1.0     0.0
8   -0.8    4.4     -5.2    0.0
9   -0.1    4.9     -4.6    0.0
10  0.9     4.1     -2.4    6.3
11  2.8     5.6     -0.1    18.2
12  5.6     6.8     5.0     0.9
13  4.5     6.3     3.9     2.0
14  3.4     7.7     -0.6    15.4
15  3.4     6.3     2.0     0.1
16  3.3     9.7     -2.5    0.0
17  3.4     8.3     -0.2    0.0
18  2.5     8.2     -2.4    0.0
19  0.7     3.9     -1.4    0.0
20  4.4     7.2     0.1     0.0
21  4.9     8.6     1.1     0.0
22  5.1     10.4    -0.7    0.0
23  5.3     8.3     0.9     0.0
24  6.9     8.7     5.3     0.0
25  6.4     8.4     4.7     0.2
26  7.4     10.1    5.2     2.9
27  6.2     9.5     4.0     2.7
28  5.9     7.2     4.5     6.3
29  8.3     9.7     6.5     3.3
30  9.8     12.1    8.3     0.0
31  8.5     10.8    7.5     3.0
